,,,2020,,2016,,2012,,2008,
MO-01,Cori Bush,(D),80.3,18.1,77.0,18.8,79.9,18.9,80.3,18.6
MO-02,Ann Wagner,(R),49.2,49.2,42.3,52.6,41.4,57.1,46.4,52.6
MO-03,Blaine Luetkemeyer,(R),31.3,66.8,28.1,67.1,36.1,62.0,42.8,55.8
MO-04,Vicky Hartzler,(R),31.9,66.0,29.3,65.3,36.4,61.2,41.9,56.5
MO-05,Emanuel Cleaver,(D),58.4,39.6,54.1,40.6,58.9,39.4,62.0,36.8
MO-06,Sam Graves,(R),35.0,63.3,31.7,63.1,37.9,60.0,43.1,55.3
MO-07,Billy Long,(R),28.1,70.0,24.7,70.4,30.3,67.6,35.3,63.1
MO-08,Jason Smith,(R),21.3,77.3,21.0,75.4,32.0,65.9,38.3,60.0
MS-01,Trent Kelly,(R),33.8,64.8,32.4,65.4,37.0,61.9,36.6,62.4
MS-02,Bennie Thompson,(D),63.7,35.2,63.6,35.1,66.4,33.0,64.2,35.2
MS-03,Michael Guest,(R),38.6,60.1,36.8,61.3,39.1,60.0,38.4,60.8
MS-04,Steven Palazzo,(R),30.3,68.3,28.2,69.4,31.2,67.6,31.1,67.9
MT-AL,Matt Rosendale,(R),40.6,56.9,35.9,56.5,41.7,55.4,47.3,49.5
NC-01,G.K. Butterfield,(D),53.9,45.3,54.7,43.6,57.1,42.4,56.6,43.1
NC-02,Deborah Ross,(D),64.3,34.0,60.3,35.9,57.0,41.7,58.7,40.7
NC-03,Greg Murphy,(R),37.7,60.9,36.5,61.0,40.5,58.6,42.5,57.0
NC-04,David Price,(D),66.6,32.2,65.2,31.9,63.2,35.7,64.6,34.8
NC-05,Virginia Foxx,(R),31.6,67.4,30.3,67.2,35.6,63.1,37.6,61.6
NC-06,Kathy Manning,(D),61.6,37.2,59.4,37.9,58.4,40.7,59.7,39.8
NC-07,David Rouzer,(R),40.7,58.1,38.7,58.6,41.9,57.2,43.7,55.8
NC-08,Richard Hudson,(R),46.1,52.5,44.1,53.2,47.3,51.8,48.0,51.5
NC-09,Dan Bishop,(R),45.5,53.4,43.2,53.7,44.2,54.9,45.8,53.7
NC-10,Patrick McHenry,(R),31.2,67.7,29.6,67.9,34.1,64.9,36.9,62.3
NC-11,Madison Cawthorn,(R),43.3,55.4,39.9,57.2,43.5,55.2,45.8,53.4
NC-12,Alma Adams,(D),70.1,28.5,67.3,29.5,66.5,32.6,67.0,32.5
NC-13,Ted Budd,(R),31.8,67.1,30.6,67.0,34.3,64.7,37.0,62.2
ND-AL,Kelly Armstrong,(R),31.9,65.5,27.7,64.1,38.9,58.7,44.6,53.3
NE-01,Mike Flood,(R),41.3,56.3,36.2,57.5,40.8,57.5,44.2,54.3
NE-02,Don Bacon,(R),52.2,45.7,46.0,48.2,45.7,52.8,50.0,48.8
NE-03,Adrian Smith,(R),22.4,75.6,20.0,74.9,27.8,70.2,31.1,67.1
NH-01,Chris Pappas,(D),52.2,46.2,46.6,48.2,50.2,48.6,52.8,46.4
NH-02,Annie Kuster,(D),53.5,44.8,48.6,46.2,54.2,44.5,56.0,43.1
NJ-01,Donald Norcross,(D),62.1,36.6,60.6,36.1,65.1,33.8,64.7,34.2
NJ-02,Jeff Van Drew,(R),47.9,50.8,46.0,50.6,53.5,45.4,53.2,45.5
NJ-03,Andy Kim,(D),49.2,49.4,45.2,51.4,51.8,47.2,51.1,47.7
NJ-04,Chris Smith,(R),44.1,54.6,41.0,55.8,44.7,54.2,45.3,53.6
NJ-05,Josh Gottheimer,(D),51.9,46.7,47.7,48.8,47.9,50.9,48.5,50.5
NJ-06,Frank Pallone,(D),57.2,41.5,56.2,40.6,61.4,37.4,58.4,40.5
NJ-07,Tom Malinowski,(D),54.2,44.3,48.6,47.5,46.3,52.5,47.2,51.6
NJ-08,Albio Sires,(D),71.8,27.2,75.7,21.5,78.3,20.8,73.2,26.0
NJ-09,Bill Pascrell,(D),62.2,36.8,64.3,33.1,68.4,30.8,64.0,35.2
NJ-10,Donald Payne,(D),84.2,15.0,85.2,12.8,87.9,11.5,84.9,14.6
NJ-11,Mikie Sherrill,(D),52.7,46.0,47.9,48.8,46.6,52.4,47.0,52.1
NJ-12,Bonnie Watson Coleman,(D),67.3,31.4,65.0,31.8,66.5,32.4,65.7,33.3
NM-01,Melanie Stansbury,(D),60.2,37.4,51.6,35.1,55.3,39.6,59.7,39.0
NM-02,Yvette Herrell,(R),43.1,54.9,39.9,50.1,44.9,51.7,48.4,50.2
NM-03,Teresa Leger Fernandez,(D),57.7,40.1,51.8,36.7,57.5,38.7,61.2,37.5
NV-01,Dina Titus,(D),61.5,36.4,61.6,32.6,65.6,32.4,64.5,33.0
NV-02,Mark Amodei,(R),43.6,53.6,39.7,52.0,44.8,52.9,49.4,48.2
NV-03,Susie Lee,(D),49.1,48.9,46.5,47.5,49.5,48.7,53.5,44.6
NV-04,Steven Horsford,(D),50.9,47.0,49.5,44.6,54.4,43.7,56.4,41.4
NY-01,Lee Zeldin,(R),47.3,51.5,42.2,54.5,49.6,49.1,51,48
NY-02,Andrew Garbarino,(R),47.4,51.4,43.9,53.0,51.6,47.2,51,48
NY-03,Tom Suozzi,(D),54.7,44.3,51.6,45.5,50.8,48.2,54,46
NY-04,Kathleen Rice,(D),55.6,43.4,53.4,43.8,56.3,42.8,55,44
NY-05,Gregory Meeks,(D),83.3,16.2,85.7,12.7,90.6,9.1,86,14
NY-06,Grace Meng,(D),61.8,37.4,65.1,32.1,67.8,31.0,63,36
NY-07,Nydia Velázquez,(D),81.8,17.3,86.9,10.4,88.4,10.3,84,15
NY-08,Hakeem Jeffries,(D),82.9,16.5,84.6,13.5,89.3,10.1,86,14
NY-09,Yvette Clarke,(D),81.4,17.8,83.5,14.4,85.3,13.8,84,15
NY-10,Jerry Nadler,(D),76.1,22.9,78.3,18.8,73.6,25.0,76,23
NY-11,Nicole Malliotakis,(R),44.3,54.8,43.8,53.6,51.6,47.3,48,51
NY-12,Carolyn Maloney,(D),84.1,14.8,83.3,13.5,76.9,21.5,80,19
NY-13,Adriano Espaillat,(D),88.1,11.1,92.3,5.4,94.6,4.6,93,6
NY-14,Alexandria Ocasio-Cortez,(D),73.3,25.9,77.7,19.8,80.7,18.3,76,23
NY-15,Ritchie Torres,(D),86.4,13.0,93.8,4.9,96.7,3.0,95,5
NY-16,Jamaal Bowman,(D),75.3,23.8,75.1,22.5,73.7,25.5,73,26
NY-17,Mondaire Jones,(D),59.6,39.4,58.6,38.4,57.1,41.8,58,41
NY-18,Sean Patrick Maloney,(D),51.8,46.8,47.1,49.0,51.4,47.1,52,47
NY-19,Pat Ryan,(D),49.8,48.3,44.0,50.8,52.1,45.9,53,45
NY-20,Paul Tonko,(D),59.3,38.7,54.0,40.5,59.2,38.8,58,40
NY-21,Elise Stefanik,(R),43.8,54.2,40.0,53.9,52.2,46.1,52,47
NY-22,Claudia Tenney,(R),43.2,54.7,39.3,54.8,48.8,49.2,49,49
NY-23,Joe Sempolinski,(R),43.3,54.5,39.7,54.5,48.4,49.6,50,49
NY-24,John Katko,(R),53.4,44.4,48.9,45.3,57.0,41.1,56,42
NY-25,Joe Morelle,(D),60.1,37.8,55.5,39.1,58.8,39.4,59,40
NY-26,Brian Higgins,(D),62.6,35.6,57.6,38.0,63.9,34.3,63,35
NY-27,Chris Jacobs,(R),41.1,56.8,35.2,59.7,42.9,55.3,44,54
OH-01,Steve Chabot,(R),47.7,50.9,44.6,51.2,46.3,52.4,47.2,51.8
OH-02,Brad Wenstrup,(R),42.9,55.6,39.7,55.8,43.7,54.7,44.3,54.2
OH-03,Joyce Beatty,(D),70.0,28.4,67.0,28.6,69.7,28.9,67.4,31.3
OH-04,Jim Jordan,(R),31.2,67.1,30.7,64.3,42.0,56.0,43.7,54.4
OH-05,Bob Latta,(R),36.7,61.6,34.6,59.7,44.1,53.9,46.0,52.2
OH-06,Bill Johnson,(R),26.5,72.2,26.7,69.3,42.7,55.2,44.7,53.1
OH-07,Bob Gibbs,(R),33.2,65.3,32.8,62.5,44.2,53.7,46.9,50.9
OH-08,Warren Davidson,(R),32.5,66.0,30.6,65.1,36.4,61.9,38.1,60.3
OH-09,Marcy Kaptur,(D),58.8,39.7,58.7,36.5,67.6,30.9,66.8,31.6
OH-10,Mike Turner,(R),47.0,51.4,44.0,51.3,48.2,50.1,49.3,49.3
OH-11,Shontel Brown,(D),79.8,19.2,80.5,17.0,82.7,16.5,82.0,17.2
OH-12,Troy Balderson,(R),46.3,52.2,41.9,53.2,43.9,54.4,44.8,53.7
OH-13,Tim Ryan,(D),51.0,47.6,51.1,44.6,62.9,35.4,62.3,35.8
OH-14,David Joyce,(R),44.9,53.9,42.1,53.6,47.6,50.9,49.1,49.4
OH-15,Mike Carey,(R),42.2,56.3,39.9,55.3,46.3,51.9,46.1,52.2
OH-16,Anthony Gonzalez,(R),42.2,56.5,39.5,56.1,45.2,53.4,47.2,51.3
OK-01,Kevin Hern,(R),37.3,60.1,32.7,61.4,34.2,65.8,35.8,64.2
OK-02,Markwayne Mullin,(R),22.1,76.1,22.8,72.9,32.2,67.8,34.3,65.7
OK-03,Frank Lucas,(R),23.1,74.6,20.9,73.6,26.1,73.9,27.1,72.9
OK-04,Tom Cole,(R),32.0,65.6,28.3,65.7,32.9,67.1,33.9,66.1
OK-05,Stephanie Bice,(R),46.0,51.3,39.8,53.2,40.8,59.2,40.8,59.2
OR-01,Suzanne Bonamici,(D),63.3,34.0,57.3,34.5,57.3,40.0,59.6,37.7
OR-02,Cliff Bentz,(R),42.1,55.6,36.4,56.5,40.5,56.8,43.3,53.8
OR-03,Earl Blumenauer,(D),74.3,23.5,70.7,22.5,72.0,24.7,72.9,24.3
OR-04,Peter DeFazio,(D),50.7,46.7,46.1,46.0,51.7,45.0,54.2,42.7
OR-05,Kurt Schrader,(D),53.6,43.9,48.3,44.1,50.5,47.1,53.0,44.2
PA-01,Brian Fitzpatrick,(R),52.4,46.6,49.1,47.1,50.2,48.6,,
PA-02,Brendan Boyle,(D),70.1,29.1,72.9,24.9,77.4,21.8,,
PA-03,Dwight Evans,(D),91.3,8.1,90.9,7.0,91.7,7.6,,
PA-04,Madeleine Dean,(D),61.5,37.4,57.8,38.5,56.1,42.8,,
PA-05,Mary Gay Scanlon,(D),65.1,34.0,62.6,34.4,63.4,35.7,,
PA-06,Chrissy Houlahan,(D),56.9,41.9,52.6,43.3,51.0,47.8,,
PA-07,Susan Wild,(D),51.8,47.0,48.7,47.6,52.9,45.9,,
PA-08,Matt Cartwright,(D),47.3,51.7,43.7,53.3,55.3,43.4,,
PA-09,Dan Meuser,(R),34.1,64.5,31.0,65.0,41.2,57.2,,
PA-10,Scott Perry,(R),47.8,50.7,43.4,52.3,46.0,52.6,,
PA-11,Lloyd Smucker,(R),38.3,60.2,34.7,60.5,38.0,60.5,,
PA-12,Fred Keller,(R),31.2,67.3,29.7,66.1,36.8,61.5,,
PA-13,John Joyce,(R),27.2,71.6,25.5,71.2,32.1,66.6,,
PA-14,Guy Reschenthaler,(R),35.7,63.2,33.9,62.9,40.6,58.3,,
PA-15,Glenn Thompson,(R),27.5,71.2,26.5,69.8,35.7,62.6,,
PA-16,Mike Kelly,(R),40.0,58.7,37.9,57.9,46.9,51.7,,
PA-17,Conor Lamb,(D),50.7,48.0,46.8,49.4,47.2,51.7,,
PA-18,Mike Doyle,(D),64.5,34.4,62.1,34.6,63.5,35.2,,
RI-01,David Cicilline,(D),63.9,34.6,60.5,34.9,66.2,32.2,66.6,31.8
RI-02,Jim Langevin,(D),56.0,42.5,51.1,44.0,59.8,38.3,59.9,38.3
SC-01,Nancy Mace,(R),46.1,52.1,40.4,53.5,40.2,58.3,42.7,56.1
SC-02,Joe Wilson,(R),43.6,54.9,38.6,56.3,39.4,59.1,39.4,59.5
SC-03,Jeff Duncan,(R),30.5,68.1,29.0,67.0,33.9,64.5,35.1,63.5
SC-04,William Timmons,(R),38.9,59.3,34.5,60.2,36.2,62.2,37.7,60.6
SC-05,Ralph Norman,(R),41.0,57.6,38.8,57.3,43.6,55.1,43.8,55.0
SC-06,Jim Clyburn,(D),67.0,31.8,66.8,30.3,70.9,28.1,70.1,28.9
SC-07,Tom Rice,(R),40.2,58.8,39.1,58.0,44.4,54.5,45.3,53.6
SD-AL,Dusty Johnson,(R),35.6,61.8,31.7,61.5,39.9,57.9,44.7,53.2
TN-01,Diana Harshbarger,(R),22.1,76.2,19.7,76.7,25.7,72.7,28.6,69.9
TN-02,Tim Burchett,(R),34.5,63.6,29.7,65.1,30.9,67.3,34.5,64.0
TN-03,Chuck Fleischmann,(R),32.9,65.3,30.2,65.4,35.1,63.3,37.3,61.3
TN-04,Scott DesJarlais,(R),30.7,67.5,27.4,68.6,33.1,65.3,35.8,62.6
TN-05,Jim Cooper,(D),60.3,36.7,56.5,38.2,55.9,42.5,57.5,41.3
TN-06,John Rose,(R),25.6,72.7,23.7,72.6,29.5,69.1,33.5,64.9
TN-07,Mark Green,(R),31.3,66.9,28.2,67.5,32.9,65.7,36.3,62.4
TN-08,David Kustoff,(R),33.2,65.4,30.7,66.3,32.9,66.1,34.9,64.1
TN-09,Steve Cohen,(D),78.5,19.8,77.5,19.8,78.4,20.9,77.0,22.5
TX-01,Louie Gohmert,(R),27.2,71.6,25.3,72.2,27.5,71.6,30,69
TX-02,Dan Crenshaw,(R),48.6,49.9,43.1,52.4,35.6,62.9,37,62
TX-03,Van Taylor,(R),48.7,49.8,40.6,54.8,34.2,64.3,37,61
TX-04,Pat Fallon,(R),24.4,74.4,21.8,75.4,24.8,74.0,29,70
TX-05,Lance Gooden,(R),37.9,60.9,34.3,62.7,34.4,64.5,37,62
TX-06,Jake Ellzey,(R),47.8,50.8,41.9,54.2,40.8,57.9,42,57
TX-07,Lizzie Fletcher,(D),53.6,45.1,48.5,47.1,38.6,59.9,40,59
TX-08,Kevin Brady,(R),28.1,70.6,23.9,72.7,21.7,77.0,26,73
TX-09,Al Green,(D),75.7,23.3,79.3,18.0,78.0,21.1,76,23
TX-10,Michael McCaul,(R),48.4,50.0,43.2,52.3,38.8,59.1,43,56
TX-11,August Pfluger,(R),19.7,79.1,19.1,77.8,19.6,79.2,23,76
TX-12,Kay Granger,(R),37.9,60.5,32.7,62.9,31.7,66.8,35,64
TX-13,Ronny Jackson,(R),19.4,79.2,16.9,79.9,18.5,80.2,22,77
TX-14,Randy Weber,(R),39.6,59.0,38.4,58.2,39.5,59.3,42,57
TX-15,Vicente González,(D),50.4,48.5,56.7,40.0,57.4,41.5,57,42
TX-16,Veronica Escobar,(D),66.4,32.0,67.9,27.2,64.2,34.5,64,35
TX-17,Pete Sessions,(R),43.6,54.6,38.8,56.3,37.7,60.4,41,58
TX-18,Sheila Jackson Lee,(D),75.7,23.0,76.5,20.0,76.1,22.8,77,23
TX-19,Jodey Arrington,(R),26.3,72.2,23.5,72.5,25.0,73.6,28,71
TX-20,Joaquin Castro,(D),63.7,34.7,61.0,34.3,58.9,39.7,58,41
TX-21,Chip Roy,(R),47.9,50.6,42.5,52.5,37.9,59.8,42,56
TX-22,Troy Nehls,(R),48.9,49.8,44.2,52.1,36.7,62.1,39,60
TX-23,Tony Gonzales,(R),48.5,50.3,49.8,46.4,48.1,50.7,50,49
TX-24,Beth Van Duyne,(R),51.9,46.5,44.5,50.7,38.0,60.4,41,58
TX-25,Roger Williams,(R),44.4,54.0,40.2,55.1,37.8,59.9,43,56
TX-26,Michael Burgess,(R),42.1,56.3,34.4,60.9,30.7,67.6,35,64
TX-27,Michael Cloud,(R),37.5,61.2,36.5,60.1,38.2,60.5,40,59
TX-28,Henry Cuellar,(D),51.6,47.2,58.3,38.5,60.3,38.7,58,41
TX-29,Sylvia Garcia,(D),65.9,32.9,71.1,25.4,65.9,33.0,62,37
TX-30,Eddie Bernice Johnson,(D),79.8,18.9,79.1,18.3,79.6,19.6,78,21
TX-31,John Carter,(R),47.6,50.4,40.8,53.5,38.3,59.6,43,56
TX-32,Colin Allred,(D),54.4,44.0,48.5,46.6,41.5,57.0,44,55
TX-33,Marc Veasey,(D),73.0,25.6,72.9,23.7,72.0,27.1,69,31
TX-34,Mayra Flores,(R),51.5,47.5,59.2,37.7,60.8,38.3,60,39
TX-35,Lloyd Doggett,(D),67.7,30.5,64.1,30.5,63.0,34.6,63,35
TX-36,Brian Babin,(R),26.9,71.9,25.2,72.0,25.7,73.2,30,69
UT-01,Blake Moore,(R),31.6,64.2,22.4,49.7,20.4,77.4,29.4,67.7
UT-02,Chris Stewart,(R),40.2,56.1,32.0,46.0,29.2,68.0,38.4,58.5
UT-03,John Curtis,(R),35.2,60.3,23.3,47.2,19.5,78.3,29.5,67.5
UT-04,Burgess Owens,(R),43.3,52.4,32.4,39.1,30.2,67.2,40.9,56.1
VA-01,Rob Wittman,(R),47.0,51.4,41.2,53.6,43.4,55.3,,
VA-02,Elaine Luria,(D),51.4,46.7,45.4,48.8,48.2,50.5,,
VA-03,Bobby Scott,(D),67.2,31.2,63.6,31.9,67.6,31.3,,
VA-04,Donald McEachin,(D),61.8,36.8,58.7,37.1,60.3,38.5,,
VA-05,Bob Good,(R),45.1,53.6,42.3,53.4,45.9,52.5,,
VA-06,Ben Cline,(R),38.6,59.8,34.9,59.7,39.5,58.8,,
VA-07,Abigail Spanberger,(D),49.8,48.7,44.0,50.5,44.1,54.6,,
VA-08,Don Beyer,(D),77.6,21.1,73.5,20.9,67.8,31.0,,
VA-09,Morgan Griffith,(R),28.4,70.4,27.3,68.8,34.9,63.1,,
VA-10,Jennifer Wexton,(D),58.9,39.6,52.2,42.2,48.8,49.9,,
VA-11,Gerry Connolly,(D),70.3,28.3,66.9,27.5,62.5,36.3,,
VT-AL,Peter Welch,(D),66.4,30.8,56.7,30.3,67.0,31.2,67.8,30.6
WA-01,Suzan DelBene,(D),59.1,38.2,54.1,37.8,54.1,43.3,56.3,41.9
WA-02,Rick Larsen,(D),62.1,35.1,56.9,34.8,59.2,38.0,60.5,37.6
WA-03,Jaime Herrera Beutler,(R),46.9,50.6,42.5,49.9,47.9,49.6,50.9,47.1
WA-04,Dan Newhouse,(R),39.6,57.8,35.1,57.9,37.9,59.7,39.2,58.9
WA-05,Cathy McMorris Rodgers,(R),44.0,53.0,39.1,52.2,43.7,53.5,46.3,51.2
WA-06,Derek Kilmer,(D),57.4,39.6,51.8,39.5,56.1,41.2,57.0,40.9
WA-07,Pramila Jayapal,(D),85.7,12.3,82.1,12.2,79.2,18.1,80.4,18.0
WA-08,Kim Schrier,(D),52.0,45.5,47.7,44.7,49.7,48.1,51.5,46.8
WA-09,Adam Smith,(D),73.3,24.6,70.5,23.3,68.3,29.6,68.6,29.9
WA-10,Marilyn Strickland,(D),56.2,40.7,51.3,39.9,56.3,41.1,57.2,41.0
WI-01,Bryan Steil,(R),44.7,53.9,42.3,52.6,47.4,51.6,50.8,48.1
WI-02,Mark Pocan,(D),69.4,29.2,65.8,29.0,68.3,30.5,70.1,28.6
WI-03,Ron Kind,(D),46.8,51.5,44.8,49.3,54.8,43.8,59.4,39.1
WI-04,Gwen Moore,(D),76.2,22.6,74.0,21.8,75.3,23.8,74.4,24.6
WI-05,Scott Fitzgerald,(R),41.7,56.8,37.3,57.4,37.7,61.3,41.8,57.2
WI-06,Glenn Grothman,(R),41.6,56.8,38.8,55.7,45.8,53.1,49.4,49.3
WI-07,Tom Tiffany,(R),39.3,59.2,37.3,57.7,47.8,50.9,53.2,45.3
WI-08,Mike Gallagher,(R),41.3,57.2,38.6,56.2,47.6,51.3,53.7,45.0
WV-01,David McKinley,(R),30.3,68.0,26.4,68.0,35.5,62.2,41.5,56.7
WV-02,Alex Mooney,(R),32.8,65.4,29.4,65.8,38.0,60.0,43.9,54.7
WV-03,Carol Miller,(R),25.5,73.1,23.3,72.5,32.8,65.0,42.3,55.7
WY-AL,Liz Cheney,(R),26.7,70.4,22.5,70.1,28.0,69.2,32.7,65.2